Nro,Dominio,Variable,flagSelected,importancia_seleccion_RF_%,importancia_modelo_final_LogReg_%
1,Feature,comprador_unico,1,0.32,11.57
2,Feature,n_items_sum,1,2.0,6.83
3,Feature,lead_min,1,9.58,7.21
4,Feature,n_categorias_sum,1,5.5,1.51
5,Feature,n_sellers_sum,1,5.84,0.53
6,Feature,reviews_buenas,1,1.32,2.06
7,Feature,freight_total_sum,1,8.59,2.65
8,Feature,frequency,1,10.31,2.7
9,Feature,recencia,1,5.28,6.17
10,Feature,compras_x_mes,1,2.9,3.07
11,Feature,monto_rango,1,3.3,2.8
12,Feature,installments_max,1,4.86,7.74
13,Feature,monto_sum,1,9.94,4.21
14,Feature,ordenes_180d,1,0.66,0.93
15,Feature,review_max,1,3.79,6.86
16,Feature,recencia_rel,1,6.9,7.45
17,Feature,ordenes_90d,1,0.12,1.15
18,Feature,monto_60d,1,2.14,3.25
19,Feature,freight_ratio_sum,1,8.04,0.31
20,Feature,monto_90d,1,4.44,2.04
21,Feature,cat_div_ratio,1,0.37,3.93
22,Feature,dow_distintos,1,1.53,0.77
23,Feature,meses_activo,1,0.46,0.56
24,Feature,n_items_max,1,0.75,2.07
25,Feature,ordenes_60d,1,0.08,7.6
26,Feature,ordenes_30d,1,0.2,2.18
27,Feature,cuotas_uso_ratio,1,0.75,1.84
