feature,coef,direccion,peso
lead_min,0.1374333630126899,↑ sube churn,0.1374333630126899
n_categorias_sum,-0.11958273165493044,↓ baja churn,0.11958273165493044
installments_max,-0.10606447910075195,↓ baja churn,0.10606447910075195
monto_sum,0.10100221629634908,↑ sube churn,0.10100221629634908
compras_x_mes,-0.09263945292608326,↓ baja churn,0.09263945292608326
n_items_sum,-0.0731922048361516,↓ baja churn,0.0731922048361516
freight_total_sum,-0.07272322084195859,↓ baja churn,0.07272322084195859
recencia_rel,0.0669055514922523,↑ sube churn,0.0669055514922523
delay_min,-0.0596740873697774,↓ baja churn,0.0596740873697774
reviews_buenas,-0.0567651295319363,↓ baja churn,0.0567651295319363
hora_mean,0.0532754352791221,↑ sube churn,0.0532754352791221
monto_rango,-0.049841322685170164,↓ baja churn,0.049841322685170164
monto_60d,-0.02113065280091141,↓ baja churn,0.02113065280091141
n_sellers_sum,0.0060050646228591974,↑ sube churn,0.0060050646228591974
freight_ratio_sum,-0.005795917286547534,↓ baja churn,0.005795917286547534
