feature,shap_medio,importancia,direccion
review_max,0.0006188135799641498,0.026173350386715994,↑ sube churn
reviews_buenas,-0.000905029695992814,0.0190506123057099,↓ baja churn
installments_max,-0.0014875253423265432,0.013660869057351813,↓ baja churn
ordenes_30d,0.0022870235193713936,0.01237829287279308,↑ sube churn
comprador_unico,-0.001791315934994085,0.011055521033444388,↓ baja churn
lead_min,0.0008172572384788863,0.00844641723810959,↑ sube churn
monto_sum,-0.0018418377054270833,0.005451710796852323,↓ baja churn
recencia_rel,-0.0034220637288000125,0.0034220637288000125,↓ baja churn
recencia,-0.00012655284908761482,0.0031597427268236934,↓ baja churn
cat_div_ratio,0.0007324688758686133,0.0029807695554944424,↑ sube churn
monto_60d,-0.00042642869645307746,0.002928189038199374,↓ baja churn
freight_ratio_sum,0.0004053709333652332,0.002813163614738815,↑ sube churn
n_sellers_sum,0.0003972360004973696,0.0025272255415662932,↑ sube churn
ordenes_180d,-0.0006914352648549673,0.002251322649538657,↓ baja churn
freight_total_sum,-0.00024026485388493673,0.0019041576190844578,↓ baja churn
monto_90d,0.0007413824462679,0.0017772380399249795,↑ sube churn
dow_distintos,0.000873966539552849,0.000873966539552849,↑ sube churn
compras_x_mes,0.00019673391556349152,0.0008623510618508646,↑ sube churn
n_categorias_sum,-0.00016881842528848582,0.0007040274621040509,↓ baja churn
n_items_sum,-9.110780133619199e-05,0.00038316714592520634,↓ baja churn
n_items_max,-1.1665723547891583e-05,0.00029581170076893907,↓ baja churn
meses_activo,0.00014911574426219946,0.00014911574426219946,↑ sube churn
ordenes_90d,-1.4007066563012599e-05,5.678532355808134e-05,↓ baja churn
ordenes_60d,1.1592901190218072e-06,2.4310619346251528e-06,↑ sube churn
