feature,imp_rf_%,imp_hgb_%,imp_logreg_%
comprador_unico,13.92,1.98,36.97
review_max,16.11,10.19,15.35
meses_activo,0.12,0.0,12.49
n_items_sum,0.0,0.73,11.08
recencia,1.01,3.69,7.21
lead_min,22.08,21.5,6.02
freight_total_sum,2.14,12.38,4.47
ordenes_30d,2.51,2.49,2.27
recencia_rel,1.45,0.8,1.39
installments_max,23.7,9.74,1.2
monto_sum,5.12,15.71,0.96
monto_90d,0.49,1.93,0.51
freight_ratio_sum,0.0,13.17,0.05
monto_60d,6.14,0.34,0.03
n_sellers_sum,0.0,0.0,0.0
compras_x_mes,0.0,0.0,0.0
reviews_buenas,5.18,3.98,0.0
n_categorias_sum,0.0,0.49,0.0
ordenes_180d,0.0,0.02,0.0
ordenes_60d,0.0,0.0,0.0
ordenes_90d,0.0,0.02,0.0
cat_div_ratio,0.0,0.84,0.0
dow_distintos,0.0,0.0,0.0
n_items_max,0.0,0.0,0.0
