trial,modelo,auc_cv,hgb_lr,hgb_max_iter,hgb_leaves,hgb_min_leaf,hgb_l2,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,rf_max_features,lr_C
47,hgb,0.771,0.2336,600.0,59.0,31.0,0.0013,,,,,
23,hgb,0.7681,0.2942,600.0,52.0,31.0,0.7079,,,,,
32,hgb,0.7658,0.2081,600.0,56.0,28.0,0.5135,,,,,
26,hgb,0.7656,0.2859,550.0,53.0,58.0,0.6051,,,,,
41,hgb,0.765,0.2135,550.0,58.0,27.0,0.1598,,,,,
21,hgb,0.7618,0.2659,600.0,56.0,20.0,1.2632,,,,,
42,hgb,0.7617,0.1478,600.0,64.0,26.0,0.0137,,,,,
34,hgb,0.7607,0.2206,550.0,57.0,28.0,0.1664,,,,,
22,hgb,0.7599,0.2904,600.0,54.0,27.0,0.9676,,,,,
19,hgb,0.7592,0.2874,600.0,52.0,20.0,1.0002,,,,,
31,hgb,0.7591,0.2872,550.0,55.0,28.0,1.0413,,,,,
15,hgb,0.7578,0.271,600.0,61.0,21.0,4.949,,,,,
33,hgb,0.7561,0.1286,550.0,43.0,101.0,0.3773,,,,,
35,hgb,0.7553,0.2129,600.0,49.0,42.0,2.2218,,,,,
12,hgb,0.7549,0.2586,550.0,61.0,20.0,7.7099,,,,,
43,hgb,0.7539,0.0978,550.0,58.0,37.0,0.2056,,,,,
13,hgb,0.7537,0.2678,600.0,60.0,21.0,7.514,,,,,
44,hgb,0.7528,0.1922,450.0,53.0,25.0,0.0054,,,,,
48,hgb,0.7522,0.1659,300.0,60.0,34.0,0.0011,,,,,
38,hgb,0.7513,0.2148,450.0,50.0,127.0,0.6269,,,,,
40,hgb,0.7512,0.2262,550.0,43.0,179.0,0.0563,,,,,
11,hgb,0.7506,0.1841,600.0,47.0,22.0,2.9935,,,,,
46,hgb,0.7501,0.1588,500.0,53.0,49.0,0.6656,,,,,
28,hgb,0.7447,0.1982,300.0,41.0,60.0,1.2549,,,,,
24,hgb,0.7442,0.1226,500.0,37.0,33.0,0.1002,,,,,
20,hgb,0.7414,0.0799,400.0,46.0,33.0,0.0447,,,,,
8,hgb,0.7404,0.1772,500.0,30.0,44.0,2.0694,,,,,
4,hgb,0.7341,0.1593,500.0,23.0,34.0,0.1207,,,,,
0,hgb,0.7315,0.1724,400.0,24.0,104.0,0.0032,,,,,
17,hgb,0.7304,0.0748,500.0,50.0,276.0,0.48,,,,,
29,hgb,0.7214,0.0311,550.0,55.0,53.0,0.0353,,,,,
16,hgb,0.7133,0.0686,400.0,64.0,43.0,8.9203,,,,,
37,hgb,0.7028,0.1389,100.0,57.0,81.0,0.4102,,,,,
27,hgb,0.6301,0.1089,450.0,8.0,66.0,0.2419,,,,,
1,rf,0.592,,,,,,250.0,8.0,25.0,0.5954,
2,rf,0.5917,,,,,,100.0,8.0,31.0,0.7677,
6,hgb,0.5846,0.0149,150.0,24.0,95.0,0.4063,,,,,
18,logreg,0.5793,,,,,,,,,,0.0012
10,logreg,0.577,,,,,,,,,,0.0212
14,logreg,0.5765,,,,,,,,,,54.0852
30,logreg,0.5765,,,,,,,,,,0.609
25,logreg,0.5765,,,,,,,,,,97.87
49,logreg,0.5765,,,,,,,,,,1.0414
39,rf,0.5733,,,,,,250.0,6.0,48.0,0.3088,
9,rf,0.5728,,,,,,100.0,6.0,94.0,0.7458,
36,rf,0.5727,,,,,,300.0,6.0,184.0,0.4207,
45,rf,0.5668,,,,,,200.0,5.0,57.0,0.576,
3,rf,0.5627,,,,,,150.0,3.0,33.0,0.3914,
7,rf,0.5539,,,,,,150.0,4.0,136.0,0.9946,
5,rf,0.5498,,,,,,100.0,3.0,80.0,0.9021,
