trial,modelo,auc_cv,auc_val,mejor
47,hgb,0.771,0.721,★
23,hgb,0.7681,0.7181,
32,hgb,0.7658,0.7158,
26,hgb,0.7656,0.7156,
41,hgb,0.765,0.715,
21,hgb,0.7618,0.7118,
42,hgb,0.7617,0.7117,
34,hgb,0.7607,0.7107,
22,hgb,0.7599,0.7099,
19,hgb,0.7592,0.7092,
31,hgb,0.7591,0.7091,
15,hgb,0.7578,0.7078,
33,hgb,0.7561,0.7061,
35,hgb,0.7553,0.7053,
12,hgb,0.7549,0.7049,
43,hgb,0.7539,0.7039,
13,hgb,0.7537,0.7037,
44,hgb,0.7528,0.7028,
48,hgb,0.7522,0.7022,
38,hgb,0.7513,0.7013,
40,hgb,0.7512,0.7012,
11,hgb,0.7506,0.7006,
46,hgb,0.7501,0.7001,
28,hgb,0.7447,0.6947,
24,hgb,0.7442,0.6942,
20,hgb,0.7414,0.6914,
8,hgb,0.7404,0.6904,
4,hgb,0.7341,0.6841,
0,hgb,0.7315,0.6815,
17,hgb,0.7304,0.6823,
29,hgb,0.7214,0.6736,
16,hgb,0.7133,0.6633,
37,hgb,0.7028,0.6528,
27,hgb,0.6301,0.6086,
1,rf,0.592,0.5781,
2,rf,0.5917,0.586,
6,hgb,0.5846,0.5841,
18,logreg,0.5793,0.5982,
10,logreg,0.577,0.597,
14,logreg,0.5765,0.5971,
30,logreg,0.5765,0.5971,
25,logreg,0.5765,0.5971,
49,logreg,0.5765,0.5972,
39,rf,0.5733,0.5682,
9,rf,0.5728,0.5804,
36,rf,0.5727,0.574,
45,rf,0.5668,0.5723,
3,rf,0.5627,0.5641,
7,rf,0.5539,0.571,
5,rf,0.5498,0.5562,
