feature,coef,direccion,peso
comprador_unico,0.191740003915312,↑ sube churn,0.191740003915312
installments_max,-0.1282340975487111,↓ baja churn,0.1282340975487111
ordenes_60d,0.1259685471014069,↑ sube churn,0.1259685471014069
recencia_rel,0.12351892898707956,↑ sube churn,0.12351892898707956
lead_min,0.1195046269453198,↑ sube churn,0.1195046269453198
review_max,-0.11371790037005552,↓ baja churn,0.11371790037005552
n_items_sum,-0.113166703190593,↓ baja churn,0.113166703190593
recencia,0.102159226246556,↑ sube churn,0.102159226246556
monto_sum,0.06983670641147441,↑ sube churn,0.06983670641147441
cat_div_ratio,-0.06512073641977675,↓ baja churn,0.06512073641977675
monto_60d,-0.05379670387697617,↓ baja churn,0.05379670387697617
compras_x_mes,-0.050795985523659236,↓ baja churn,0.050795985523659236
monto_rango,-0.04643127968741788,↓ baja churn,0.04643127968741788
frequency,0.044714240251997,↑ sube churn,0.044714240251997
freight_total_sum,-0.04386410026821432,↓ baja churn,0.04386410026821432
ordenes_30d,-0.036038609377502695,↓ baja churn,0.036038609377502695
n_items_max,0.03436191750030877,↑ sube churn,0.03436191750030877
reviews_buenas,0.034174599542900766,↑ sube churn,0.034174599542900766
monto_90d,0.03372809658494973,↑ sube churn,0.03372809658494973
cuotas_uso_ratio,0.030497237775001903,↑ sube churn,0.030497237775001903
n_categorias_sum,-0.025087003934086128,↓ baja churn,0.025087003934086128
ordenes_90d,0.019044117880049633,↑ sube churn,0.019044117880049633
ordenes_180d,-0.015390883991571801,↓ baja churn,0.015390883991571801
dow_distintos,-0.01267938328346665,↓ baja churn,0.01267938328346665
meses_activo,-0.009310488956849673,↓ baja churn,0.009310488956849673
n_sellers_sum,-0.008858062868199094,↓ baja churn,0.008858062868199094
freight_ratio_sum,0.005156340133374181,↑ sube churn,0.005156340133374181
