feature,imp_rf_%,imp_hgb_%,imp_logreg_%
comprador_unico,4.56,0.0,25.11
n_items_sum,2.56,1.3,16.47
recencia,0.0,0.87,15.42
compras_x_mes,0.0,6.4,7.21
monto_sum,3.77,16.58,6.38
review_max,6.63,3.32,6.01
lead_min,9.09,16.89,5.1
installments_max,20.11,15.94,3.37
monto_90d,0.0,2.09,3.26
recencia_rel,0.0,0.0,2.69
cuotas_uso_ratio,23.35,13.85,2.44
ordenes_30d,0.06,1.31,2.25
freight_total_sum,2.58,9.38,1.72
n_sellers_sum,0.0,0.72,0.7
reviews_buenas,25.48,1.5,0.45
monto_rango,0.11,0.01,0.38
ordenes_180d,0.0,0.0,0.34
cat_div_ratio,0.0,0.13,0.26
monto_60d,0.0,0.0,0.22
freight_ratio_sum,0.0,9.35,0.12
meses_activo,0.0,0.17,0.06
dow_distintos,0.0,0.0,0.04
n_categorias_sum,0.74,0.17,0.0
frequency,0.0,0.0,0.0
ordenes_90d,0.0,0.0,0.0
ordenes_60d,0.0,0.0,0.0
n_items_max,0.94,0.0,0.0
