comprador_unico,n_items_sum,lead_min,n_categorias_sum,n_sellers_sum,reviews_buenas,freight_total_sum,frequency,recencia,compras_x_mes,monto_rango,installments_max,monto_sum,ordenes_180d,review_max,recencia_rel,ordenes_90d,monto_60d,freight_ratio_sum,monto_90d,cat_div_ratio,dow_distintos,meses_activo,n_items_max,ordenes_60d,ordenes_30d,cuotas_uso_ratio
1,1.0,13.0,1.0,1.0,1.0,27.2,1.0,74.0,0.4054054054054054,0.0,1.0,72.2,1.0,5.0,1.0,1.0,0.0,0.6044444444444445,72.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,2.0,12.0,2.0,2.0,1.0,85.72,2.0,29.0,0.2843601895734597,70.28,10.0,1101.51,1.0,5.0,0.6500317460317461,1.0,782.4300000000001,0.20496549326168162,968.06,0.5,1.0,2.0,1.0,1.0,1.0,0.5
1,1.0,12.0,1.0,1.0,1.0,15.1,1.0,36.0,0.8333333333333334,0.0,4.0,43.09,1.0,5.0,1.0,1.0,43.09,0.5394783851375491,43.09,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,6.0,1.0,1.0,1.0,11.85,1.0,71.0,0.4225352112676056,0.0,1.0,29.75,1.0,5.0,1.0,1.0,0.0,0.6620111731843575,29.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,13.0,1.0,1.0,1.0,16.97,1.0,97.0,0.30927835051546393,0.0,1.0,92.97,1.0,4.0,1.0,0.0,0.0,0.2232894736842105,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,18.0,1.0,1.0,1.0,57.58,1.0,23.0,1.0,0.0,3.0,187.57,1.0,4.0,1.0,1.0,187.57,0.44295715055004226,187.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,22.0,1.0,1.0,1.0,14.1,1.0,50.0,0.6,0.0,1.0,63.1,1.0,4.0,1.0,1.0,63.1,0.28775510204081634,63.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,33.0,1.0,1.0,0.0,17.12,1.0,68.0,0.4411764705882353,0.0,10.0,356.12,1.0,1.0,1.0,1.0,0.0,0.05050147492625369,356.12,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,19.0,1.0,1.0,1.0,17.33,1.0,47.0,0.6382978723404256,0.0,10.0,386.33,1.0,4.0,1.0,1.0,386.33,0.04696476964769647,386.33,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,4.0,1.0,1.0,1.0,11.76,1.0,62.0,0.48387096774193544,0.0,1.0,91.66,1.0,4.0,1.0,1.0,0.0,0.1471839799749687,91.66,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,7.0,1.0,1.0,1.0,18.34,1.0,77.0,0.3896103896103896,0.0,9.0,317.34,1.0,5.0,1.0,1.0,0.0,0.06133779264214047,317.34,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,2.0,9.0,1.0,1.0,0.0,99.24,1.0,24.0,1.0,0.0,4.0,824.76,1.0,3.0,1.0,1.0,782.4300000000001,0.25001515610791153,824.76,1.0,1.0,1.0,2.0,1.0,1.0,1.0
1,1.0,18.0,1.0,1.0,1.0,14.1,1.0,40.0,0.75,0.0,1.0,59.1,1.0,5.0,1.0,1.0,59.1,0.31333333333333335,59.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,23.0,1.0,1.0,0.0,51.13,1.0,107.0,0.2803738317757009,0.0,1.0,231.12,1.0,2.0,1.0,0.0,0.0,0.28407133729651646,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,2.0,11.0,2.0,2.0,2.0,58.86,2.0,54.0,1.0,70.28,1.0,881.11,2.0,5.0,1.0,2.0,782.4300000000001,0.15823469954019342,881.11,0.5,1.0,1.0,1.0,1.0,0.0,0.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
